cause_id,cause_name
502,Lower extremity peripheral arterial disease
503,Endocarditis
504,Non-rheumatic valvular heart disease
507,Other cardiovascular and circulatory diseases
508,Chronic respiratory diseases
509,Chronic obstructive pulmonary disease
510,Pneumoconiosis
511,Silicosis
512,Asbestosis
513,Coal workers pneumoconiosis
496,Intracerebral hemorrhage
497,Subarachnoid hemorrhage
498,Hypertensive heart disease
499,Cardiomyopathy and myocarditis
500,Atrial fibrillation and flutter
950,HIV/AIDS - Extensively drug-resistant Tuberculosis
955,HIV/AIDS and sexually transmitted infections
956,Respiratory infections and tuberculosis
957,Enteric infections
958,Typhoid and paratyphoid
380,Neonatal disorders
381,Neonatal preterm birth
404,Acute hepatitis E
408,Other unspecified infectious diseases
409,Non-communicable diseases
459,Malignant skin melanoma
462,Non-melanoma skin cancer
465,Ovarian cancer
468,Testicular cancer
471,Kidney cancer
474,Bladder cancer
477,Brain and central nervous system cancer
480,Thyroid cancer
483,Mesothelioma
484,Hodgkin lymphoma
644,Orofacial clefts
645,Down syndrome
648,Other chromosomal abnormalities
947,Extensively drug-resistant tuberculosis
948,HIV/AIDS - Drug-susceptible Tuberculosis
949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance
959,Invasive Non-typhoidal Salmonella (iNTS)
961,Other infectious diseases
962,Maternal and neonatal disorders
964,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms"
967,Other benign and in situ neoplasms (internal)
968,Non-rheumatic calcific aortic valve disease
718,Self-harm
302,Diarrheal diseases
319,Typhoid fever
320,Paratyphoid fever
321,Other intestinal infectious diseases
322,Lower respiratory infections
593,Chronic kidney disease due to other and unspecified causes
594,Urinary diseases and male infertility
595,Urinary tract infections and interstitial nephritis
596,Urolithiasis
401,Acute hepatitis A
402,Acute hepatitis B
530,Paralytic ileus and intestinal obstruction
531,"Inguinal, femoral, and abdominal hernia"
532,Inflammatory bowel disease
533,Vascular intestinal disorders
534,Gallbladder and biliary diseases
535,Pancreatitis
541,Other digestive diseases (internal)
542,Neurological disorders
543,Alzheimer's disease and other dementias
544,Parkinson's disease
545,Idiopathic epilepsy
546,Multiple sclerosis
554,Motor neuron disease
557,Other neurological disorders
558,Mental disorders
560,Alcohol use disorders
561,Drug use disorders
528,Gastritis and duodenitis
529,Appendicitis
704,Exposure to mechanical forces
705,Unintentional firearm injuries
707,Other exposure to mechanical forces
524,Cirrhosis due to alcohol
525,Cirrhosis due to other causes
526,Digestive diseases
527,Peptic ulcer disease
514,Other pneumoconiosis
515,Asthma
516,Interstitial lung disease and pulmonary sarcoidosis
520,Other chronic respiratory diseases
521,Cirrhosis and other chronic liver diseases
522,Chronic hepatitis B including cirrhosis
523,Chronic hepatitis C including cirrhosis
969,Non-rheumatic degenerative mitral valve disease
970,Other non-rheumatic valve diseases
971,Nonalcoholic fatty liver disease including cirrhosis
973,Substance use disorders
974,Diabetes and kidney diseases
975,Diabetes mellitus type 1
976,Diabetes mellitus type 2
980,Bacterial skin diseases
992,Upper digestive system diseases
995,Maternal abortion and miscarriage
996,Liver cancer due to NASH
997,Chronic kidney disease due to diabetes mellitus type 1
998,Chronic kidney disease due to diabetes mellitus type 2
1004,Pulmonary Arterial Hypertension
1005,Hepatoblastoma
1006,Burkitt lymphoma
396,Gonococcal infection
938,Alcoholic cardiomyopathy
942,Myocarditis
337,Encephalitis
338,Diphtheria
339,Pertussis
340,Tetanus
341,Measles
342,Varicella and herpes zoster
344,Neglected tropical diseases and malaria
328,Upper respiratory infections
329,Otitis media
332,Meningitis
692,Motorcyclist road injuries
693,Motor vehicle road injuries
694,Other road injuries
695,Other transport injuries
696,Unintentional injuries
649,Congenital musculoskeletal and limb anomalies
650,Urogenital congenital anomalies
651,Digestive congenital anomalies
652,Other congenital birth defects
653,Skin and subcutaneous diseases
656,Cellulitis
657,Pyoderma
665,Decubitus ulcer
668,Other skin and subcutaneous diseases
686,Sudden infant death syndrome
687,Injuries
1011,Soft tissue and other extraosseous sarcomas
1012,Malignant neoplasm of bone and articular cartilage
1013,Neuroblastoma and other peripheral nervous cell tumors
294,All causes
295,"Communicable, maternal, neonatal, and nutritional diseases"
297,Tuberculosis
298,HIV/AIDS
300,HIV/AIDS resulting in other diseases
485,Non-Hodgkin lymphoma
486,Multiple myeloma
688,Transport injuries
689,Road injuries
382,Neonatal encephalopathy due to birth asphyxia and trauma
383,Neonatal sepsis and other neonatal infections
384,Hemolytic disease and other neonatal jaundice
385,Other neonatal disorders
386,Nutritional deficiencies
387,Protein-energy malnutrition
391,Other nutritional deficiencies
393,Sexually transmitted infections excluding HIV
394,Syphilis
395,Chlamydial infection
399,Other sexually transmitted infections
562,Opioid use disorders
563,Cocaine use disorders
564,Amphetamine use disorders
566,Other drug use disorders
572,Eating disorders
573,Anorexia nervosa
587,Diabetes mellitus
715,Foreign body in other body part
717,Self-harm and interpersonal violence
944,Other cardiomyopathy
945,Conflict and terrorism
946,Multidrug-resistant tuberculosis without extensive drug resistance
690,Pedestrian road injuries
691,Cyclist road injuries
589,Chronic kidney disease
591,Chronic kidney disease due to hypertension
592,Chronic kidney disease due to glomerulonephritis
701,Poisoning by carbon monoxide
703,Poisoning by other means
708,Adverse effects of medical treatment
709,Animal contact
710,Venomous animal contact
711,Non-venomous animal contact
712,Foreign body
713,Pulmonary aspiration and foreign body in airway
400,Acute hepatitis
588,Acute glomerulonephritis
1007,Other non-Hodgkin lymphoma
1008,Eye cancer
1009,Retinoblastoma
1010,Other eye cancers
403,Acute hepatitis C
697,Falls
698,Drowning
699,"Fire, heat, and hot substances"
700,Poisonings
943,Other leukemia
